"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "TypeScript", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"/home/bp/Source/fortivector-next/src/lib/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 14, 136
"/home/bp/Source/fortivector-next/src/lib/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 239, 0, 0, 0, 19, 258
"/home/bp/Source/fortivector-next/src/lib/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 0, 25, 168
"/home/bp/Source/fortivector-next/src/lib/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"/home/bp/Source/fortivector-next/src/lib/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"/home/bp/Source/fortivector-next/src/lib/components/ui/navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 157, 0, 0, 0, 12, 169
"/home/bp/Source/fortivector-next/src/lib/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 8, 49
"/home/bp/Source/fortivector-next/src/lib/components/ui/radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 46
"/home/bp/Source/fortivector-next/src/lib/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 53, 0, 0, 0, 6, 59
"/home/bp/Source/fortivector-next/src/lib/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 0, 14, 186
"/home/bp/Source/fortivector-next/src/lib/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"/home/bp/Source/fortivector-next/src/lib/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 126, 0, 0, 0, 14, 140
"/home/bp/Source/fortivector-next/src/lib/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 660, 0, 0, 12, 55, 727
"/home/bp/Source/fortivector-next/src/lib/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"/home/bp/Source/fortivector-next/src/lib/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"/home/bp/Source/fortivector-next/src/lib/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 12, 117
